,SAMA,FOUN,DONE,BANA,NGAB,SENO,FARA,KELA,SEL,FOUM,TNZK,NCHE,BOU,BOE,OSS,MUT,SAL,MAL,MIR,WAN,ASS,MOY
TNZK,0.0768596137143067,0.09317497143871555,0.09660019691772731,0.09173019603350409,0.1349006420590425,0.09826497016272485,0.10221178872242094,0.09899268254527249,0.08903815930389465,0.10164571639153472,,0.05830887788107519,0.14334218489181377,0.13641193659516632,0.13467692642484208,0.1370981211478228,0.14929629419461085,0.13043299901278627,0.16483373896684855,0.1532732967707187,0.1817701211368625,0.18263512924595326
NCHE,0.03652047179802731,0.04781507127216456,0.04994987966460708,0.04221806579436904,0.090439393912726,0.05143339860487138,0.06036836524382215,0.052358107445086996,0.04265514793374011,0.04459875129834721,0.05830887788107519,,0.12472567940508801,0.12231090122157558,0.1210690551983597,0.11741456396208727,0.1310932811300896,0.11053670035276222,0.13631273569353985,0.1259130590106971,0.1541293817971475,0.15343153433898088
BOU,0.14985281855713928,0.16646271151460507,0.1682152867988782,0.15759600628116244,0.2134443090737344,0.17057463193963354,0.17659953639938306,0.17320975181900453,0.16194770458463084,0.1594292598303092,0.14334218489181377,0.12472567940508801,,0.04676301001462699,0.04596272421316895,0.032320220435209115,0.05673624774349291,0.04028696913529502,0.18853268663377445,0.17670233306460473,0.19708169383226604,0.1946160204401004
BOE,0.14054996249416463,0.15814531252261993,0.16096212044058483,0.15391004355671326,0.2034747130822003,0.16363950951804335,0.16712310324212593,0.1654033086145074,0.154095592649921,0.15990179912607183,0.13641193659516632,0.12231090122157558,0.04676301001462699,,0.0361725448207204,0.029523288458565486,0.0648814761335331,0.04268432961354666,0.19202447459932126,0.1808733866991593,0.19820968322572238,0.1985193252180497
OSS,0.13753733180835861,0.15595868122927312,0.15895741329498175,0.15246541687297094,0.20083601220999908,0.16134031282121242,0.16442949611908234,0.1630749604541473,0.1518602626361341,0.15956308310057118,0.13467692642484208,0.1210690551983597,0.04596272421316895,0.0361725448207204,,0.04138821067763227,0.052352986528467226,0.04378946457571065,0.19268127755596812,0.1806870820205506,0.19617195183688318,0.1970957595512236
MUT,0.14734142872095934,0.16261805292116552,0.16393786425983453,0.15211543161303898,0.21022180505877344,0.16704816813042833,0.1737904501547874,0.16920115905689637,0.15823088530469984,0.1516120928545571,0.1370981211478228,0.11741456396208727,0.032320220435209115,0.029523288458565486,0.04138821067763227,,0.04522045074158283,0.01341452806832594,0.17536063597812016,0.1652603628737691,0.18685223025360662,0.1834731149287349
SAL,0.15156576442981254,0.1693667880317198,0.17167913847381236,0.16276383977041473,0.2156155765659613,0.1745628072253662,0.178761026479682,0.17632699823664652,0.16508165579894588,0.16656814083960944,0.14929629419461085,0.1310932811300896,0.05673624774349291,0.0648814761335331,0.052352986528467226,0.04522045074158283,,0.0367123007612199,0.19517874999899085,0.18365206925346794,0.2053850933040948,0.2030393835874661
MAL,0.1415749831402563,0.15611795089352248,0.1574691669747405,0.14545971307260092,0.20351251447660207,0.16059578993855964,0.16768058430872335,0.16259696861108403,0.15136713538997662,0.1442623477970333,0.13043299901278627,0.11053670035276222,0.04028696913529502,0.04268432961354666,0.04378946457571065,0.01341452806832594,0.0367123007612199,,0.16744562102326513,0.1563870324095197,0.18166567017065155,0.17576880783955742
MIR,0.16610504689425995,0.17872343171566107,0.1807083156285586,0.16596315041564574,0.2292803661140024,0.18586056114392924,0.19239415168215637,0.18628747753126246,0.17536924733659065,0.16292512658963731,0.16483373896684855,0.13631273569353985,0.18853268663377445,0.19202447459932126,0.19268127755596812,0.17536063597812016,0.19517874999899085,0.16744562102326513,,0.002238360141670636,0.13113377830484138,0.12798110260690806
WAN,0.1563974294790957,0.16812752080055102,0.17073454662703677,0.15680595916823617,0.21918150923254903,0.17524018973036007,0.18254628604736894,0.17576346156670736,0.16505856890673254,0.15498325563193902,0.1532732967707187,0.1259130590106971,0.17670233306460473,0.1808733866991593,0.1806870820205506,0.1652603628737691,0.18365206925346794,0.1563870324095197,0.002238360141670636,,0.1202885093567412,0.11624761888061445
ASS,0.1765818685629913,0.1848734875849502,0.19317507336742998,0.17849766537002856,0.2413236206022088,0.19949563088011682,0.20354324532756218,0.19593647696942448,0.18712868087339116,0.18322679015955903,0.1817701211368625,0.1541293817971475,0.19708169383226604,0.19820968322572238,0.19617195183688318,0.18685223025360662,0.2053850933040948,0.18166567017065155,0.13113377830484138,0.1202885093567412,,-0.0066435134060418176
MOY,0.1807345672420331,0.19045200422134126,0.1963187725519835,0.18116326201632343,0.2454570795651824,0.2023023398819413,0.20749722117655847,0.20053882013197874,0.19053440679225805,0.18153861936777002,0.18263512924595326,0.15343153433898088,0.1946160204401004,0.1985193252180497,0.1970957595512236,0.1834731149287349,0.2030393835874661,0.17576880783955742,0.12798110260690806,0.11624761888061445,-0.0066435134060418176,
