,SAMA,FOUN,DONE,BANA,NGAB,SENO,FARA,KELA,SEL,FOUM,TNZK,NCHE,BOU,BOE,OSS,MUT,SAL,MAL,MIR,WAN,ASS,MOY
TNZK,0.0006208201935756617,0.0006498984105137246,0.000584760110980628,0.0006185180483326945,0.0012957054677271392,0.0005905517698873777,0.0005472004546964716,0.0006482771069488341,0.0005417454781910286,0.0005833420885744227,,0.0006310278067608851,0.0009448823200672098,0.0009491367932431788,0.000927520480417686,0.0009258182212271636,0.0011563154369962525,0.0008588406129144571,0.0009326524272346579,0.0008948613722013768,0.0013473335895526197,0.001159263435868992
NCHE,0.0005942149823681726,0.0005372746423633288,0.0004497351719410429,0.0004919212498195483,0.0012592693047061493,0.0004661682088713235,0.0005138913669014552,0.0005388224150595269,0.0004191122393775296,0.00042707364804524115,0.0006310278067608851,,0.0008832794443052139,0.0008217607828604091,0.0008366700952905881,0.0008457315445041176,0.001011650479563334,0.00075509660106635,0.0008359128022382199,0.0008213473233672843,0.0012377245154711876,0.001064545729833807
BOU,0.0008927581989217536,0.0008831959982954058,0.0008396886284737314,0.0008750405130083702,0.0014701908974396863,0.0008428146654004112,0.0008337431052820031,0.0008884680919955218,0.0008132194249986213,0.0008545739755043475,0.0009448823200672098,0.0008832794443052139,,0.0008222184534832557,0.0008063508306848001,0.0008096135464571502,0.0011201881994049728,0.0008042285452061204,0.0012972401071024416,0.0013120831274221374,0.0017304382483226202,0.0015289183442239464
BOE,0.0008149975852856974,0.0008551504539801761,0.0008114158095785924,0.0008403266502461183,0.0014480962341630983,0.0008079010515022321,0.0007615457058184762,0.0008554639310984021,0.0007771142447677076,0.0007872100712382151,0.0009491367932431788,0.0008217607828604091,0.0008222184534832557,,0.0007868909021506731,0.0007196683740500677,0.001082787000878277,0.0007528937159119507,0.0011853505444000525,0.0011894233280320364,0.0016308726897783106,0.001412180119013478
OSS,0.000835320879767922,0.0008754779739330592,0.000835953716535802,0.0008648731478312983,0.0014699293401389463,0.0008327426681544778,0.0007801970998911468,0.000885771582551047,0.000796839292107832,0.0007898915103759409,0.000927520480417686,0.0008366700952905881,0.0008063508306848001,0.0007868909021506731,,0.0007460623575638244,0.0010250035482584267,0.0006875272157526751,0.0012048636246251468,0.0012074517826790102,0.0016465945744794427,0.001443303580432775
MUT,0.0009503542567826641,0.0008885509378163293,0.0008339881171123677,0.0008533833724061508,0.0015044028684766365,0.0008489498465572778,0.0008861978402601176,0.0009023573174270183,0.0008199372397277809,0.0008359235132959342,0.0009258182212271636,0.0008457315445041176,0.0008096135464571502,0.0007196683740500677,0.0007460623575638244,,0.0010442484223858227,0.0006668398754892928,0.0012736591326410868,0.0012839876504592747,0.0016968973269010103,0.001513885535614268
SAL,0.0008971308685401482,0.0009491497920060182,0.0008996248982176588,0.0009481515604866542,0.0014833444832675507,0.0009030349308484572,0.0008497283921420993,0.000953512682955968,0.0008673668044134921,0.0009215780646308104,0.0011563154369962525,0.001011650479563334,0.0011201881994049728,0.001082787000878277,0.0010250035482584267,0.0010442484223858227,,0.000882130121493478,0.0013374301255707865,0.001324277518514743,0.0017896191904493858,0.0015842265584924036
MAL,0.0009245331289726245,0.0008458133583046563,0.0007817182177679286,0.00078269098854173,0.0014765349293644483,0.0008043409443141337,0.0008648545804049742,0.0008529976001105977,0.0007740127517449547,0.00076689761966899,0.0008588406129144571,0.00075509660106635,0.0008042285452061204,0.0007528937159119507,0.0006875272157526751,0.0006668398754892928,0.000882130121493478,,0.0011999688259669578,0.0011897826086466764,0.0016047038493456948,0.0014318805137609647
MIR,0.0010501898002509226,0.0009167136703911163,0.0008573054655218708,0.0008079553492099534,0.0015595200870032325,0.0008869799027239235,0.0009913180663262853,0.000929073209488592,0.0008598112196158392,0.0007933717649723977,0.0009326524272346579,0.0008359128022382199,0.0012972401071024416,0.0011853505444000525,0.0012048636246251468,0.0012736591326410868,0.0013374301255707865,0.0011999688259669578,,0.0005637695608129073,0.0015553675115949298,0.0013822446209198719
WAN,0.0010175742351274893,0.0009085543746134584,0.0008521123749989491,0.0008188843519143939,0.0015454858331933258,0.0008786317356518022,0.0009631653306648382,0.0009172658225013387,0.0008512394683618278,0.000794370179226833,0.0008948613722013768,0.0008213473233672843,0.0013120831274221374,0.0011894233280320364,0.0012074517826790102,0.0012839876504592747,0.001324277518514743,0.0011897826086466764,0.0005637695608129073,,0.0015712445948180339,0.0013785775700562084
ASS,0.0011070108005096662,0.0011295882548561014,0.001117235245164184,0.0011417133918414568,0.0016761762882548119,0.0011298624669964217,0.0010799010442608277,0.0011619964089935619,0.0010825129161573094,0.0011336779729913596,0.0013473335895526197,0.0012377245154711876,0.0017304382483226202,0.0016308726897783106,0.0016465945744794427,0.0016968973269010103,0.0017896191904493858,0.0016047038493456948,0.0015553675115949298,0.0015712445948180339,,0.0010738747184969436
MOY,0.0010748595527767949,0.001032598134412639,0.0010070444968419013,0.0010030895770850648,0.0016198931128128063,0.0010281678517138869,0.0010427096123345944,0.001059897962392851,0.0009890963811875775,0.001004516273240452,0.001159263435868992,0.001064545729833807,0.0015289183442239464,0.001412180119013478,0.001443303580432775,0.001513885535614268,0.0015842265584924036,0.0014318805137609647,0.0013822446209198719,0.0013785775700562084,0.0010738747184969436,
